NOTE: episode was built at speed 0.97; you passed 0.96 — mixed clips will have an audible cadence jump. Use --force to re-synth ALL clips at the new speed.
->  sting1.mp3 (35152b, polished)
->  t1.mp3 (247684b, polished)
->  t0a.mp3 (261477b, polished)
->  t2.mp3 (211322b, polished)
->  c1.mp3 (71515b, polished)
->  a1.mp3 (144240b, polished)
->  a2.mp3 (203799b, polished)
->  a3.mp3 (347995b, polished)
->  a4.mp3 (186244b, polished)
->  a5.mp3 (196275b, polished)
->  a6.mp3 (216964b, polished)
->  a7.mp3 (136716b, polished)
->  a8.mp3 (301601b, polished)
->  a9.mp3 (201918b, polished)
->  a10.mp3 (232638b, polished)
->  a11.mp3 (82800b, polished)
->  a12.mp3 (337964b, polished)
->  a13.mp3 (50199b, polished)
->  a14.mp3 (263358b, polished)
->  a15.mp3 (173079b, polished)
->  a16.mp3 (209441b, polished)
->  a17.mp3 (124804b, polished)
->  a18.mp3 (225115b, polished)
->  c2.mp3 (65872b, polished)
->  b1.mp3 (336083b, polished)
->  b2.mp3 (311632b, polished)
->  b3.mp3 (73395b, polished)
->  b4.mp3 (330440b, polished)
->  b5.mp3 (144240b, polished)
->  b6.mp3 (109758b, polished)
->  b7.mp3 (403792b, polished)
->  b8.mp3 (124804b, polished)
->  b9.mp3 (98473b, polished)
->  b10.mp3 (232638b, polished)
->  b11.mp3 (257715b, polished)
->  b12.mp3 (98473b, polished)
->  b13.mp3 (84680b, polished)
->  b14.mp3 (129193b, polished)
->  b15.mp3 (194395b, polished)
->  b16.mp3 (178721b, polished)
->  b17.mp3 (282793b, polished)
->  b18.mp3 (148001b, polished)
->  b19.mp3 (219472b, polished)
->  b20.mp3 (82800b, polished)
->  b21.mp3 (321036b, polished)
->  b22.mp3 (245804b, polished)
->  c3.mp3 (50199b, polished)
->  d1.mp3 (186244b, polished)
->  d2.mp3 (336083b, polished)
->  d3.mp3 (373072b, polished)
->  d4.mp3 (228876b, polished)
->  d5.mp3 (23240b, polished)
->  d6.mp3 (129193b, polished)
->  d7.mp3 (274643b, polished)
->  d8.mp3 (247684b, polished)
->  d9.mp3 (98473b, polished)
->  d10.mp3 (374953b, polished)
->  d11.mp3 (282793b, polished)
->  d12.mp3 (169317b, polished)
->  d13.mp3 (207560b, polished)
->  d14.mp3 (144240b, polished)
->  d15.mp3 (359280b, polished)
->  d16.mp3 (198156b, polished)
->  d17.mp3 (250192b, polished)
->  d18.mp3 (65872b, polished)
->  d19.mp3 (107877b, polished)
->  d20.mp3 (225115b, polished)
->  d21.mp3 (245804b, polished)
->  d22.mp3 (167436b, polished)
->  c4.mp3 (77157b, polished)
->  e1.mp3 (88442b, polished)
